"","OTU","Sample","Abundance","BarcodeSequence","LinkerPrimerSequence","Barcode_right","Index.Number","number","code","site_name","site_host","site_code","description","location","city","state","comment","lat","long","elev","date","Description","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"99","OTU_93","UN",25155,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__unidentified","s__Microascaceae_sp"
"87","OTU_68","UN",24105,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Trichosporon","s__Trichosporon_dehoogii"
"92","OTU_85","UN",24081,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Myriodontium","s__Myriodontium_keratinophilum"
"31","OTU_162","UN",22879,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cortinariaceae","g__Cortinarius","s__Cortinarius_sp"
"93","OTU_86","UN",22608,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Zygomycota","c__Mortierellomycotina_cls_Incertae_sedis","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella_alpina"
"86","OTU_66","UN",20777,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Penicillium","s__Penicillium_limosum"
"17","OTU_137","UN",20503,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Onygenaceae","g__Chrysosporium","s__Chrysosporium_lobatum"
"14","OTU_131","UN",20246,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Trichosporon","s__Trichosporon_brassicae"
"64","OTU_40","UN",19657,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Zygomycota","c__Mortierellomycotina_cls_Incertae_sedis","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella_horticola"
"79","OTU_58","UN",19408,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Archaeorhizomycetes","o__unidentified","f__unidentified","g__unidentified","s__Archaeorhizomycetes_sp"
"65","OTU_41","UN",19384,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Zygomycota","c__Mortierellomycotina_cls_Incertae_sedis","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella_rishikesha"
"77","OTU_556","UN",18950,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__unidentified","g__unidentified","s__Hypocreales_sp"
"97","OTU_91","UN",18913,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariaceae","g__Neurospora","s__Neurospora_terricola"
"84","OTU_63","UN",18723,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__Inocybe_sp"
"34","OTU_168","UN",18171,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__Fusarium_penzigii"
"98","OTU_92","UN",18045,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__unidentified","s__Thelephoraceae_sp"
"83","OTU_61","UN",18024,11.0645161290323,1,9.03225806451613,195.66935483871,62.5,13.2903225806452,13.2903225806452,1,1,2.11290322580645,12.2258064516129,11.1290322580645,3.80645161290323,4.91935483870968,8.70161290322581,8.66935483870968,8.98387096774194,9.07258064516129,62.5,"k__Fungi","p__Ascomycota","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__Ascomycota_sp"
