"","OTU","Sample","Abundance","BarcodeSequence","LinkerPrimerSequence","Barcode_right","Index.Number","number","code","site_name","site_host","site_code","description","location","city","state","comment","lat","long","elev","date","Description","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"86","OTU_68","INV",843,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Trichosporon","s__Trichosporon_dehoogii"
"29","OTU_205","INV",830,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Sagenomella","s__Sagenomella_diversispora"
"79","OTU_6","INV",767,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreomycetidae_ord_Incertae_sedis","f__Plectosphaerellaceae","g__Verticillium","s__Verticillium_leptobactrum"
"14","OTU_140","INV",742,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Leotiomycetes_ord_Incertae_sedis","f__Leotiomycetes_fam_Incertae_sedis","g__Leohumicola","s__Leohumicola_sp"
"65","OTU_463","INV",721,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetidae_ord_Incertae_sedis","f__Eremomycetaceae","g__Arthrographis","s__Arthrographis_curvata"
"66","OTU_4685","INV",709,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__unidentified","s__Thelephoraceae_sp"
"71","OTU_50","INV",660,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__unidentified","g__unidentified","s__Hypocreales_sp"
"16","OTU_144","INV",658,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreomycetidae_ord_Incertae_sedis","f__Plectosphaerellaceae","g__Verticillium","s__Verticillium_sp"
"63","OTU_442","INV",656,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Basidiomycota","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__Basidiomycota_sp"
"97","OTU_891","INV",647,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Rhizophydiales","f__Rhizophydiales_fam_Incertae_sedis","g__Operculomyces","s__Operculomyces_laminatus"
"26","OTU_187","INV",624,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Penicillium","s__Penicillium_quercetorum"
"33","OTU_221","INV",624,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Mariannaea","s__Mariannaea_elegans"
"41","OTU_278","INV",613,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Zygomycota","c__Mortierellomycotina_cls_Incertae_sedis","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella_sp"
"72","OTU_520","INV",612,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__unidentified","s__Herpotrichiellaceae_sp"
"19","OTU_153","INV",575,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Acremonium","s__Acremonium_curvulum"
"95","OTU_868","INV",566,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Olpidiales","f__Olpidiaceae","g__Olpidiaster","s__Olpidiaster_brassicae"
"52","OTU_358","INV",565,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora","s__Cladophialophora_sp"
"59","OTU_41","INV",558,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Zygomycota","c__Mortierellomycotina_cls_Incertae_sedis","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__Mortierella_rishikesha"
"74","OTU_538","INV",552,2.75,1,4.55,111.3,10.5,3.3,3.3,1.25,1,3.2,3.4,2.9,2.45,3.35,1.35,1.55,2.85,2.45,10.5,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Clavulinaceae","g__Clavulina","s__Clavulina_sp"
